prefill_freq_bin,decode_freq_bin,effective_batch_size,energy,latency,inference_time,batching_time,compute_time,avg_power,temperature,power_headroom,slo_violation,temp_violation,power_violation,throughput_raw,edp_efficiency_raw,performance_metric,constraint_penalty,prefill_power_w,decode_power_w,prefill_time,decode_time,num_prompt_tokens,num_decode_tokens,prefill_TOTAL_POWER,decode_TOTAL_POWER,throughput_normalized,edp_efficiency_normalized,reward,end_to_end_latency
3,0,7,140.7688259,6.443,6.76517725,0.0057,0.0578,20.4126,61.9,0.65979,False,False,False,120.5959769,0.001102568,0.2145045963833681,0.0,18.9492,21.876,0.0609,6.3821,77,700,18.9492,21.876,0.11632432374646433,0.3853113720667487,0.2145045963833681,6.4430000000000005
4,0,7,140.9358182,6.4505,6.773403406,0.0061,0.057,20.3911,61.5,0.660148333,False,False,False,121.540947,0.001099981,0.21282666367052774,0.0,18.9057,21.8765,0.0601,6.3904,84,700,18.9057,21.8765,0.11740681102916666,0.38369477188877904,0.21282666367052774,6.4505
2,0,7,140.8164162,6.4586,6.78445363,0.0061,0.0594,20.3776,61.6,0.660373333,False,False,False,122.4723435,0.001099533,0.2138525346340753,0.0,18.924,21.8312,0.0628,6.3958,91,700,18.924,21.8312,0.11847374940785549,0.38341481948068834,0.2138525346340753,6.458600000000001
9,0,7,141.3796293,6.4545,6.771834612,0.006,0.0628,20.72885,64.4,0.654519167,False,False,False,122.5501398,0.001095849,0.22533313685644935,0.0,19.5292,21.9285,0.0658,6.3887,91,700,19.5292,21.9285,0.11856286704807639,0.38111271083915743,0.22533313685644935,6.4545
10,0,7,141.3699647,6.4629,6.785203457,0.0059,0.0553,20.8985,63.7,0.651691667,False,False,False,122.3908582,0.001094499,0.22182644176385907,0.0,19.905,21.892,0.0583,6.4046,91,700,19.905,21.892,0.11838040592431333,0.3802691042522772,0.22182644176385907,6.4629
8,0,7,140.8971583,6.4511,6.775494099,0.0058,0.0561,20.7457,64.3,0.654238333,False,False,False,122.6147289,0.001100181,0.2260359280355257,0.0,19.6302,21.8612,0.059,6.3921,91,700,19.6302,21.8612,0.11863685550480237,0.3838197506423908,0.2260359280355257,6.4511
6,0,7,140.9139308,6.4574,6.778723717,0.006,0.0556,20.5608,60.5,0.65732,False,False,False,124.6631578,0.001098976,0.21052853457807125,0.0,19.2762,21.8454,0.0586,6.3988,105,700,19.2762,21.8454,0.12098338290685443,0.38306675365187925,0.21052853457807125,6.4574
5,0,7,141.7118727,6.4821,6.800340414,0.0061,0.0575,20.58215,62.9,0.656964167,False,False,False,127.4278201,0.001088624,0.22050116188611277,0.0,19.2778,21.8865,0.0608,6.4213,126,700,19.2778,21.8865,0.12415037388436427,0.37659785336492807,0.22050116188611277,6.4821
0,0,8,143.7690219,6.6008,6.918961287,0.0065,0.0886,20.20585,61.0,0.663235833,False,False,False,135.7411017,0.001053751,0.21106981864818614,0.0,18.5859,21.8258,0.0922,6.5086,96,800,18.5859,21.8258,0.13367344938646022,0.35480593299139146,0.21106981864818614,6.6008
7,0,7,142.8557068,6.4964,6.817834139,0.0063,0.0597,21.2784,62.5,0.64536,False,False,False,129.302363,0.001077531,0.2175607840803317,0.0,20.5527,22.0041,0.0632,6.4332,140,700,20.5527,22.0041,0.1262977104510238,0.3696659067958448,0.2175607840803317,6.4964
0,0,9,150.0878658,6.9138,7.22631073,0.007,0.1599,20.47665,60.8,0.6587225,False,False,False,153.6058096,0.000963691,0.2041931521506539,0.0,19.1837,21.7696,0.1635,6.7503,162,900,19.1837,21.7696,0.15413792663387962,0.2985280002399593,0.2041931521506539,6.9138
